Sexo,IdadeEvasao,PeriodoEvasao,baixorendimentonasdisciplinas,cenáriopolíticoeconômicoinstável,desinteressecomcursoescolhido,desinteressecomcursosuperioremgeral,desligamentoporcoeficienteabaixode3doissemestreconsecutivos,desligamentoporprazomáximo,desligamentoporreprovaçõesemtodasdisciplinasdoissemestresconsecutivos,dificuldadenaáreaescolhida,distanciamentodafamília,faixasalarialnãopromissora,fimderelacionamento,incompatibilidadedetempoentretrabalhoeestudo,oportunidadedeingressoemoutrafaculdadecommesmocurso,oportunidadedeingressoemoutrafaculdadeemcursodiferente,oportunidadedeingressonaufopemcursodiferente,oportunidadedeingressonoiceaemcursodiferente,oportunidadedetrabalho,perdasdeentesqueridos,problemadeadaptaçãocomocurso,problemascomaprendizadoemrelaçãoaoconteúdo,problemascomprofessoresespecíficos,problemascomumadisciplinaemespecífico,problemasfamiliares,problemasfinanceiros,problemaspsicológicos,positive_sent_pt,negative_sent_pt,positive_sent_en,negative_sent_en,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Cluster
0,22.0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,-2.0,3.0,-3.0,0.8651268834707981,-0.4940756430486465,0.9942040671830527,0.6532492729397715,0.8813273093888762,0.6924118944777733,-0.10068732992867853,-0.655004151616997,7.732207007994695e-05,-0.542011276236871,-0.2967916683525514,0.5840056062808454,0.294971210293035,-0.10603545569676288,1
1,24.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-4.0,1.327976328503585,-0.5251588033767279,0.5875894082658678,-0.8586133720517538,-0.27136116429073637,0.5059686997763313,-0.13846721849652951,-0.09326702101635269,-0.48674087396410626,-0.036545779272020185,0.09530767427681412,-0.01336971325634995,0.11848941396491537,-0.20201921899116065,1
1,31.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,1.0,-3.0,-0.5993259981684979,-0.1264714557780911,0.5136032931627104,-0.03598946392294525,-0.7503936057161232,-0.2032465451067345,0.046950917789868055,0.13423260613250199,0.3470953345653766,0.05805992865522006,-0.09733980080441161,-0.07265400614342464,-0.46954438896915673,-0.1321999796817463,0
1,24.0,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,3.0,-2.0,-0.11552518331288714,-0.3964575166851413,-0.8056091613244191,0.5488012249503955,-0.12155740238961794,0.6133295759345568,-0.10349059856221629,-0.8228061265335127,0.1239317775515588,0.0448096853248688,0.46019782261960235,0.06427335249433089,0.2140812942040097,-0.00013588955901877738,0
0,18.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-3.0,2.0,-2.0,-0.3952042249348224,0.00762682090953057,0.3029969432386836,0.26748685290924895,0.6597031309893845,-0.8993657209058642,0.7297636788367916,-0.08083494242037632,-0.19936041844158792,0.8654724009689182,0.2766681843187769,-0.03682181348771348,0.147722888278001,0.48693731345787494,0
1,51.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,-0.6860563621828669,-0.06598771095306637,0.3340991870555443,-0.197288990979279,-0.5997563263057897,-0.11009757238352698,0.08813327276898356,0.02446764550957641,0.533274594703805,0.07589026212686872,-0.18127313986097768,-0.19128672222934995,-0.4019455295228909,-0.2583968211414405,0
1,32.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,-0.4098160359087457,-0.21100282505695317,0.6209723501929116,-0.14561057926851004,-0.6292880883183514,0.21925404719608682,0.10094698525377242,0.32890364742185657,0.6502402096843914,0.35745995510552464,-0.2821554379665094,0.04244881407570205,0.15444301849781852,-0.32746636187679234,0
1,18.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,-2.0,-0.7121284328167501,-0.08929905789446665,-0.047624167667583796,-0.0301450652561579,0.04632266155877142,0.1824459610088499,0.8290945829891875,-0.13046991377804054,-0.29187929689117803,0.088628502295416,-0.21644229931225678,0.24311073558460838,-0.060525638011738304,0.29327780068153464,0
1,23.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,-1.0,3.0,-1.0,0.30592095043111744,1.5776904841272525,0.12125019433365594,0.3179791686546961,0.6365185848830173,-0.01792223151278644,0.1899956001819937,-0.7320632280874968,0.21287776892970806,0.03563333350162019,0.08027305200933782,0.22886289148419006,0.21800086682821143,0.5102524513627668,1
1,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,-1.0,-0.9119434927014244,0.29767883330027367,-0.05056763011035677,-0.3107779094165576,-0.037342458790320325,0.07358173541214352,-0.2801988549640699,0.22559573030742333,-0.3202746689216603,-0.10133381303534436,0.041617494669587016,-0.16024711055731442,0.1477834610723777,-0.28493741978303117,0
